"ZONING DISTRICT LAND USE TABLE
Mobile storage unit,,,,,,,,,PC,PC,PC,,,,,PC,,PC,PC,PC,PC,PC,PC,PC,PC,,PC,PC,,,
Mobile vendor,,,,,,,,,,,,,,,,,,PC,PC,PC,PC,,,,,,,,,,
Nanobrewery,,,,,,,,,PC,PC,PC,,,,,,,PC,PC,,,,,,,,,,,,
Personal care services,,,,,,,,P,P,P,P,P ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,
"Restaurant, fast-food",,,,,,,,,P,P,P,,A,A,A,P,PC,P,P,P,P,P,P,P,P,P,P,P,P,P,P
"Restaurant, full-service",,,,,,,,PC,P,P,P,,A,A,A,P,PC,P,P,P,P,P,P,P,P,P,P,P,P,P,P
"Restaurant, take-out",,,,,,,,PC,P,P,P,,A,A,A,P,PC,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Retail,,,,,,,,PC,P,P,P,,A,A,A,PC,PC,P,P,P,P,P,P,P,P,PC,PC,P,PC,PC,PC
Self-service storage,,,,,,,,,,,,,,,,,,,PC,,P,P,P,P,P,,,,P,P,P
Vehicular rental/leasing,,,,,,,,,,,,,,,,,,,P,P,PC,PC,PC,PC,PC,,,PC,P,P,P
"Vehicular sales & services, limited",,,,,,,,,,,,,,,,,,,PC,,,,P,,,,,,P,P,P
Wrecker service,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,P,P
Communication Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amateur radio antenna,A,A,A,A,A,A,,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Audio/video tape transfer,,,,,,,,P,P,P,P,,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Communications hut,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC
Multi-media production,,,,,,,,P,P,P,P,,P,P,P,P,,,P,P,P,P,P,P,P,,,,P,P,P
Printing and publishing,,,,,,,,PC,P,P,P,,P,P,P,P,PC,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Radio/TV/satellite tower,SE,SE,SE,SE,SE,SE,,SE,SE,SE,PC,SE,SE,PC,PC,PC,SE,PC,PC,PC,PC,PC,PC,PC,PC,SE,PC,PC,PC,PC,PC
Radio/TV studio,,,,,,,,,,P,P,,P,P,P,P,,,P,P,P,P,P,P,P,,,,P,P,P
Satellite dish,A,A,A,A,A,A,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Telephone services,PC,PC,PC,PC,PC,PC,,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC
Industrial Uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artisan Distillery,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,P,P,P
Asphalt plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC
Building contractor supply,,,,,,,,,,,,,,,,,,,PC,,P,PC,PC,PC,,,,,P,P,P
Compressor Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P
Distributive business/wholesale,,,,,,,,,PC,PC,PC,,,,,,,,PC,,P,PC,PC,PC,,,,,P,P,P
Fuel storage,A,,,,,,,,,,A,,,A,,A,,,A,A,A,A,A,A,,,A,A,A,A,P
Heavy equipment sales & service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P
Hazardous operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE
"Manufacturing, Artisan ",,,,,,,,,PC,PC,PC,,,,,,,,PC,,PC,PC,PC,PC,,,,,PC,PC,PC
"Manufacturing, heavy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P
"Manufacturing, medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,PC
"Manufacturing, light",,,,,,,,,,,,,,,,,,,PC,,P,PC,PC,PC,,,,,P,P,P
Microbrewery ,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,P,P,P
Research service,,,,,,,,,,,P,,,,,P,,,P,,P,P,P,P,,,,,P,P,P
Scrap operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P
Tank farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,PC,P
